run_id,bloque,condicion,repeticion,scene,waypoints,checkpoint,mobility_mode,percepcion_online,adjustments_file,spawn_profile,reutilizacion,status,valid,termination,last_wp,results_dir,notes
DENS_BAJA_01,densidad,baja,1,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_baja.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/densidad/baja/DENS_BAJA_01,
DENS_BAJA_02,densidad,baja,2,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_baja.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/densidad/baja/DENS_BAJA_02,
DENS_BAJA_03,densidad,baja,3,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_baja.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/densidad/baja/DENS_BAJA_03,
DENS_BAJA_04,densidad,baja,4,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_baja.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/densidad/baja/DENS_BAJA_04,
DENS_BAJA_05,densidad,baja,5,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_baja.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/densidad/baja/DENS_BAJA_05,
DENS_MEDIA_01,densidad,media,1,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_media.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/densidad/media/DENS_MEDIA_01,
DENS_MEDIA_02,densidad,media,2,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_media.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/densidad/media/DENS_MEDIA_02,
DENS_MEDIA_03,densidad,media,3,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_media.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/densidad/media/DENS_MEDIA_03,
DENS_MEDIA_04,densidad,media,4,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_media.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/densidad/media/DENS_MEDIA_04,
DENS_MEDIA_05,densidad,media,5,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_media.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/densidad/media/DENS_MEDIA_05,
DENS_ALTA_01,densidad,alta,1,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,si,,general,uninformed;mapa_normal,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/densidad/alta/DENS_ALTA_01,
DENS_ALTA_02,densidad,alta,2,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,si,,general,uninformed;mapa_normal,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/densidad/alta/DENS_ALTA_02,
